"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"David Astbury",11828,"RI","CA","1",9,7,7,16,0,0,0,2,5,0,1,2,1,1,0,9,8,3,0,4,0,0,100
"Shai Bolton",12535,"RI","CA","1",3,2,3,6,0,0,1,0,0,1,1,3,0,3,0,3,3,0,0,1,0,0,77
"Dan Butler",12490,"RI","CA","1",10,2,3,13,3,0,0,7,0,6,0,3,3,1,0,7,6,0,1,1,2,2,76
"Josh Caddy",12010,"RI","CA","1",13,5,6,19,3,2,0,2,0,8,4,2,5,0,0,11,10,1,2,0,1,0,80
"Jason Castagna",12431,"RI","CA","1",7,4,8,15,2,1,0,4,0,3,3,0,1,0,0,7,8,0,2,2,0,1,76
"Reece Conca",11888,"RI","CA","1",9,0,7,16,0,0,0,7,2,6,2,7,0,2,0,6,10,0,0,1,1,0,77
"Trent Cotchin",11666,"RI","CA","1",14,2,10,24,0,0,0,4,0,5,7,2,2,0,0,13,12,0,1,1,0,2,81
"Shane Edwards",11557,"RI","CA","1",5,3,11,16,0,0,0,4,3,4,2,1,0,0,0,9,7,1,0,2,0,0,75
"Brandon Ellis",12034,"RI","CA","1",11,3,7,18,0,1,0,3,2,4,0,5,0,0,0,3,14,0,0,0,2,0,79
"Corey Ellis",12346,"RI","CA","1",6,2,6,12,0,0,0,4,1,1,1,2,0,0,0,7,6,0,0,5,1,1,72
"Jack Graham",12576,"RI","CA","1",7,0,6,13,0,1,0,13,1,2,2,0,1,0,0,9,6,0,0,0,0,1,69
"Shaun Grigg",11594,"RI","CA","1",7,4,10,17,0,1,0,2,0,2,2,4,0,1,0,2,15,0,0,1,0,1,83
"Dylan Grimes",11879,"RI","CA","1",4,1,2,6,0,0,0,2,1,0,0,1,0,0,0,3,2,1,0,3,0,0,84
"Kane Lambert",12333,"RI","CA","1",7,1,7,14,0,0,0,2,1,2,3,1,1,0,0,6,6,0,0,1,0,1,85
"Dustin Martin",11794,"RI","CA","1",20,5,12,32,1,3,0,1,0,6,6,3,1,1,0,17,15,2,2,1,0,2,87
"Kamdyn McIntosh",12317,"RI","CA","1",19,5,0,19,0,1,0,1,3,8,1,5,0,1,0,3,15,0,1,1,1,0,69
"Toby Nankervis",12374,"RI","CA","1",7,2,7,14,0,0,33,5,1,1,5,5,2,5,0,12,4,0,0,3,0,0,86
"Alex Rance",11733,"RI","CA","1",9,3,6,15,0,0,0,1,5,0,0,2,3,0,0,8,5,1,0,6,2,0,100
"Jack Riewoldt",11576,"RI","CA","1",12,7,6,18,4,2,0,1,0,6,0,2,1,0,1,5,14,1,5,1,0,2,96
"Jayden Short",12418,"RI","CA","1",12,2,4,16,0,1,0,1,2,4,1,1,0,1,0,4,12,0,0,1,4,1,79
"Jacob Townsend",12023,"RI","CA","1",6,5,3,9,4,2,0,1,0,0,0,2,0,1,0,6,3,2,5,1,0,0,90
"Nick Vlastuin",12174,"RI","CA","1",10,3,2,12,0,0,0,3,2,2,0,3,1,3,0,3,7,1,0,4,0,0,80
"Ciaran Byrne",12336,"CA","RI","1",6,4,8,14,0,0,0,1,4,0,1,2,0,0,0,4,9,0,0,2,0,0,85
"Levi Casboult",12114,"CA","RI","1",7,4,3,10,1,0,19,1,1,1,3,2,3,1,0,6,5,2,0,2,0,0,91
"Patrick Cripps",12261,"CA","RI","1",13,5,23,36,0,1,0,7,3,5,9,7,4,1,2,25,11,4,0,0,0,1,94
"Charlie Curnow",12421,"CA","RI","1",14,10,5,19,5,0,0,2,0,5,0,2,1,2,3,7,12,1,3,4,0,1,90
"Ed Curnow",11883,"CA","RI","1",15,2,14,29,0,0,0,4,4,6,7,6,2,3,0,15,15,1,0,0,0,0,86
"Paddy Dow",12582,"CA","RI","1",5,1,6,11,0,0,0,5,0,1,1,2,0,1,0,4,7,0,0,2,0,0,71
"Zac Fisher",12520,"CA","RI","1",13,2,8,21,1,0,0,1,2,5,3,3,1,0,0,8,15,0,0,4,0,1,81
"Jarrod Garlett",5488,"CA","RI","1",9,7,8,17,2,0,0,0,0,3,0,2,1,1,0,6,12,0,1,0,0,0,75
"Liam Jones",11866,"CA","RI","1",6,2,4,10,0,0,0,1,3,0,0,1,0,1,0,5,4,0,0,8,0,0,97
"Matthew Kennedy",12455,"CA","RI","1",2,2,2,4,0,0,0,0,0,1,0,4,0,3,0,0,4,0,0,0,0,1,24
"Matthew Kreuzer",11645,"CA","RI","1",7,1,10,17,0,1,23,1,1,1,4,1,1,0,0,8,8,0,0,1,0,0,66
"Jed Lamb",12182,"CA","RI","1",10,5,6,16,0,1,0,0,0,1,0,2,0,0,0,3,11,0,0,2,3,1,80
"Caleb Marchbank",12369,"CA","RI","1",13,6,6,19,0,0,0,4,5,3,0,1,1,0,0,6,14,1,0,8,0,0,86
"Aaron Mullett",12008,"CA","RI","1",10,3,6,16,0,0,0,1,3,3,0,4,0,2,0,6,9,0,0,1,0,0,88
"Marc Murphy",4148,"CA","RI","1",10,3,13,23,0,0,0,1,1,2,6,3,2,1,0,8,15,0,0,0,1,1,89
"Sam Petrevski-Seton",12487,"CA","RI","1",11,4,5,16,1,0,0,5,4,1,2,2,1,2,0,6,12,0,0,0,0,0,77
"Lachie Plowman",12142,"CA","RI","1",7,5,6,13,0,0,0,3,2,0,0,1,0,0,0,2,9,0,0,8,0,0,96
"Jack Silvagni",12458,"CA","RI","1",3,3,3,6,0,0,0,2,0,2,0,2,0,1,0,2,4,0,0,0,0,0,84
"Kade Simpson",1456,"CA","RI","1",24,6,11,35,0,0,0,4,10,2,1,3,1,0,0,10,21,2,0,2,5,0,91
"Dale Thomas",4152,"CA","RI","1",10,5,14,24,0,0,0,1,3,3,3,3,0,1,0,10,15,0,0,1,0,0,83
"Jacob Weitering",12402,"CA","RI","1",4,3,5,9,0,0,0,3,1,1,0,3,1,2,0,6,3,0,0,5,0,0,86
"Matthew Wright",11929,"CA","RI","1",8,5,3,11,5,0,0,2,0,1,2,1,1,0,0,5,6,1,4,0,0,0,83
"Rory Atkins",12381,"AD","ES","1",8,1,6,14,0,2,0,2,2,4,1,1,1,0,0,4,9,0,0,0,0,1,86
"Eddie Betts",4060,"AD","ES","1",7,2,7,14,0,2,0,2,0,1,1,1,1,0,0,6,9,0,1,3,0,1,85
"Luke Brown",12106,"AD","ES","1",10,2,5,15,0,0,0,0,5,1,0,0,0,0,0,1,10,0,0,2,0,0,82
"Matt Crouch",12258,"AD","ES","1",18,6,23,41,0,0,0,2,3,3,7,4,0,1,0,11,31,0,0,0,0,1,80
